SKU,OWNERSHIP,Level_1,Level_3
DB DOUBLE BROWN CANS 18X330ML,OWN,TOTAL BEER,ECONOMY
DB DRAUGHT BOTTLES 24X330ML,OWN,TOTAL BEER,MAINSTREAM
DB EXPORT 33 BOTTLES 12X330ML,OWN,TOTAL BEER,PREMIUM
DB EXPORT 33 BOTTLES 15X330ML,OWN,TOTAL BEER,PREMIUM
DB EXPORT 33 BOTTLES 24X330ML,OWN,TOTAL BEER,PREMIUM
DB EXPORT CITRUS BOTTLES 12X330ML,OWN,TOTAL BEER,MAINSTREAM
DB EXPORT GOLD BOTTLES 12X330ML,OWN,TOTAL BEER,MAINSTREAM
DB EXPORT GOLD BOTTLES 15X330ML,OWN,TOTAL BEER,MAINSTREAM
DB EXPORT GOLD BOTTLES 24X330ML,OWN,TOTAL BEER,MAINSTREAM
DB EXPORT GOLD CANS 12X330ML,OWN,TOTAL BEER,MAINSTREAM
DB EXPORT ULTRA LOW CARB BOTTLES 12X330ML,OWN,TOTAL BEER,MAINSTREAM
DB EXPORT ULTRA LOW CARB BOTTLES 24X330ML,OWN,TOTAL BEER,MAINSTREAM
DB EXPORT ULTRA LOW CARB CANS 24X330ML,OWN,TOTAL BEER,MAINSTREAM
FLAME BOTTLES 15X330ML,OWN,TOTAL BEER,ECONOMY
FLAME CANS 12X330ML,OWN,TOTAL BEER,ECONOMY
HEINEKEN BOTTLES 12X330ML,OWN,TOTAL BEER,PREMIUM
HEINEKEN BOTTLES 15X330ML,OWN,TOTAL BEER,PREMIUM
HEINEKEN BOTTLES 24X330ML,OWN,TOTAL BEER,PREMIUM
HEINEKEN CANS 12X330ML,OWN,TOTAL BEER,PREMIUM
HEINEKEN CANS 24X330ML,OWN,TOTAL BEER,PREMIUM
HEINEKEN CANS LOCAL 1X500ML,OWN,TOTAL BEER,PREMIUM
HEINEKEN SILVER LOW CARB LAGER BOTTLES 12X330ML,OWN,TOTAL BEER,PREMIUM
HEINEKEN SILVER LOW CARB LAGER BOTTLES 24X330ML,OWN,TOTAL BEER,PREMIUM
HEINEKEN ZERO BOTTLES 12X330ML,OWN,TOTAL BEER,PREMIUM
KINGFISHER INDIAN LAGER BOTTLES 12X330ML,OWN,TOTAL BEER,PREMIUM
KINGFISHER STRONG BEER CANS 1X500ML,OWN,TOTAL BEER,PREMIUM
KINGFISHER STRONG BEER CANS 6X330ML,OWN,TOTAL BEER,PREMIUM
MONTEITHS CLASSICS RADLER BOTTES 12X330ML,OWN,TOTAL BEER,EVERYDAY CRAFT
MONTEITHS CLASSICS SUMMER ALE BOTTLES 12X330ML,OWN,TOTAL BEER,EVERYDAY CRAFT
MONTEITHS SOUNDS HAZY PALE ALE BOTTLES 12X330ML,OWN,TOTAL BEER,EVERYDAY CRAFT
MONTEITHS WEST COASTIN HAZY IPA CANS 12X330ML,OWN,TOTAL BEER,EVERYDAY CRAFT
MONTEITHS WEST COASTIN HAZY IPA CANS 6X330ML,OWN,TOTAL BEER,EVERYDAY CRAFT
SOL MEXICAN LAGER BOTTLES 12X330ML,OWN,TOTAL BEER,PREMIUM
TIGER CRYSTAL ULTRA LOW CARB BOTTLES 12X330ML,OWN,TOTAL BEER,PREMIUM
TIGER LAGER BOTTLES 12X330ML,OWN,TOTAL BEER,PREMIUM
TUI BOTTLES 12X330ML,OWN,TOTAL BEER,MAINSTREAM
TUI BOTTLES 24X330ML,OWN,TOTAL BEER,MAINSTREAM
TUI STRONG LAGER CANS 1X500ML,OWN,TOTAL BEER,PREMIUM
MONTEITHS CRUSHED APPLE CIDER BTL 12X330ML,OWN,TOTAL CIDER,CIDER
ORCHARD THIEVES CRISP APPLE CIDER BOTTLES 12X330ML,OWN,TOTAL CIDER,CIDER
